track_id,track,plays,track_unique_days,log_dur_min,track_score
5RYdxEXYrsLvk6BlAyLRPr,Childlike Faith In Childhood's End,1,1,2.5368663887187113,5.54
4E8lIpvBpdbrsmLNkqE3pq,Eastern Numbers,1,1,2.5079719227189963,5.51
033qZdFc0NDMcC5qgwuUux,Luminol,1,1,2.498973906999436,5.5
6V2N2kd13NP2VVePUBhfRm,(In The) Black Room/The Tower,1,1,2.4664031782234406,5.46
3r8aTVJlryuF3ZcVSpWpA0,Lemmings (Including Cog),1,1,2.4553061800117097,5.45
0gEaeqVRHPzRc7HMXtOKc7,Pigs (Three Different Ones),1,1,2.437115985951652,5.42
5PFGWGJzxRaoKTcWuLlUCE,Lost: The Dance In Sand And Sea/The Dance In The Frost,1,1,2.4176979000945504,5.4
7f79xfhkMFJrDt42o9BfyD,Lost,1,1,2.414126467726953,5.4
5zgBkwQc9EXSkFDilwKkfn,ManErg,1,1,2.412335956953165,5.39
4OmpD7nAiqeJYQV9hchkph,"A Love Supreme, Pt. III",1,1,2.3711778844596574,5.35
74ATQzarPofDR0giO5Le93,Rivers,2,1,1.5260563034950492,5.33
0cuDpH47VOBdqbnG5XCdii,Machine Messiah,1,1,2.347558458636777,5.32
3vFi5B5VcnstzetQbqzXkL,Machine Messiah,1,1,2.347558458636777,5.32
0kWcu1pw8zVF5ykPr1m9DQ,Feng Shui,1,1,2.3427668826268775,5.31
1SSdWBO1xePELpK27iMU5C,"And You and I: i. Cord of Life, ii. Eclipse, iii. The Preacher the Teacher, iv. Apocalypse",1,1,2.3233676321765744,5.29
6qfovhuEiazhpsIe4UqirU,The Holy Drinker,1,1,2.325324579963535,5.29
2jSwVJrpQzggmaqfgTRlTi,Charm of a Gun,2,1,1.4951487660319727,5.29
0s5QFXo8u8foDSl6oQLw1R,Lonnie's Lament,1,1,2.3282528397426234,5.29
6Ap85jPfZq0DIgglSKPf55,Confusion,1,1,2.322387720290225,5.29
20GN1pxoDq3uzvpu6XRjp0,Your Appetite,2,1,1.4816045409242156,5.28
3WGhSW2KJoGH9fD9cGWDtI,A Place To Survive,1,1,2.309560706730471,5.27
3UidBOm9Cl9N7tfLAtHHpo,La Conquista Della Posizione Eretta,1,1,2.301584592660462,5.26
4P0iCtuPba62SoYoOkTpD9,Forse Le Lucciole Non Si Amano Più,1,1,2.288486168614544,5.25
4YP9CntDC527d7nncKwUbY,Giubbe Rosse,2,1,1.4445632692438664,5.23
27cpEDIohXSh71P2vVoMD3,Scorched Earth,1,1,2.2679936482244267,5.22
7hndioNe0qtgQrMjEqcIbe,Never Let Me Down Again,1,1,2.2607208888953467,5.21
51LCl58gOGSeBdlhWeoGTm,Big Apple,2,1,1.425515074273172,5.21
0pAWc1N5PQdQhkyj73uJut,Giant,1,1,2.259677591982769,5.21
51vwq1LeyYogquQPupd2Bg,Never Let Me Down Again,1,1,2.253394848803274,5.2
6UpMG6BDOd5xecMTu5r3sj,Firth of Fifth,1,1,2.253394848803274,5.2
5sY77QMQ0tA6LBLsjhGPGm,Sound Chaser,1,1,2.2438960966453663,5.19
6K3q2FCBIIKcoKkmT6M6NL,Eruption,1,1,2.2267833795777636,5.17
5cpKDL7ArW8F2JtUk0wuQM,The Vanilla Queen,1,1,2.2267833795777636,5.17
