track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,dt,day,hour,month,hlp,duration_min,track_short,time_of_day
1xc867pVLbgibBqQ2pbMT5,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Vengeance,Tangerine Dream,Sorcerer,2026-06-15T18:57:13,334720,2026-06-15,15,18,6,1,5.58,Vengeance,abends
5BpkXpXZT6f249dhHxlAol,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Creation,Tangerine Dream,Sorcerer,2026-06-15T18:51:38,300773,2026-06-15,15,18,6,1,5.01,Creation,abends
4gp56r33Xqcro4B80GG9DV,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,The Call,Tangerine Dream,Sorcerer,2026-06-15T18:46:37,119586,2026-06-15,15,18,6,1,1.99,The Call,abends
6Owl84QoqxIrktRZYwTOku,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Search,Tangerine Dream,Sorcerer,2026-06-15T18:44:38,174586,2026-06-15,15,18,6,1,2.91,Search,abends
5bBis7ui3HWvffZB52aj0a,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Main Title - Sorcerer/Sountrack Version,Tangerine Dream,Sorcerer,2026-06-15T18:41:43,330720,2026-06-15,15,18,6,1,5.51,Main Title,abends
7rEqiIcW12JzoLCet0Mmlk,2MrDi1gCFcd0sfGgjlTVz0,1BGN1IdyiSR0ZYrkoKNchl,Continuum - Live from Coventry Cathedral 2022,Tangerine Dream,From Virgin To Quantum Years - Coventry Cathedral 22,2026-06-15T15:44:23,428066,2026-06-15,15,15,6,1,7.13,Continuum,nachmittags
6zwUm1oDuGdksOPcxkPwPy,2MrDi1gCFcd0sfGgjlTVz0,1BGN1IdyiSR0ZYrkoKNchl,Betrayal Sorcerer Theme - Live from Coventry Cathedral 2022,Tangerine Dream,From Virgin To Quantum Years - Coventry Cathedral 22,2026-06-15T15:37:14,306426,2026-06-15,15,15,6,1,5.11,Betrayal Sorcerer Theme,nachmittags
37WFNUQyudpfMWJfTx67dk,2MrDi1gCFcd0sfGgjlTVz0,1BGN1IdyiSR0ZYrkoKNchl,Stratosfear - Live from Coventry Cathedral 2022,Tangerine Dream,From Virgin To Quantum Years - Coventry Cathedral 22,2026-06-15T15:32:08,626666,2026-06-15,15,15,6,1,10.44,Stratosfear,nachmittags
6ZqRbP1WRb8JeTj6zRgEEK,3Fwvk0okeHHvxT5s90mK8T,1BGN1IdyiSR0ZYrkoKNchl,Chimes And Chains,Tangerine Dream,Force Majeure (Remastered 2018 / Deluxe Version),2026-06-15T15:21:40,285498,2026-06-15,15,15,6,1,4.76,Chimes And Chains,nachmittags
0VGPGBanlFxwYHLliV34gt,3Fwvk0okeHHvxT5s90mK8T,1BGN1IdyiSR0ZYrkoKNchl,Thru Metamorphic Rocks,Tangerine Dream,Force Majeure (Remastered 2018 / Deluxe Version),2026-06-15T15:16:54,874469,2026-06-15,15,15,6,1,14.57,Thru Metamorphic Rocks,nachmittags
3vGCZR6nHYd3be31turwDA,3Fwvk0okeHHvxT5s90mK8T,1BGN1IdyiSR0ZYrkoKNchl,Cloudburst Flight,Tangerine Dream,Force Majeure (Remastered 2018 / Deluxe Version),2026-06-15T15:02:20,448596,2026-06-15,15,15,6,1,7.48,Cloudburst Flight,nachmittags
